genename	fold-change	P.Value	name
BDH2	1.817	6.64484802404418e-06	Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)
EIF3J	1.54	8.47437009703713e-05	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)
DCXR	1.515	9.69342790652096e-05	L-xylulose reductase (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase)
NAP1L4	1.296	0.000119404	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)
DNMT3A	1.377	0.000130826	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)
EIF2S1	1.281	0.000140282	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha)
COX6C	1.353	0.000147507	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)
PSMA2	0.571	0.00016855	Proteasome subunit alpha type
CMPK1	0.52	0.000186428	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
RPS11	1.392	0.000214428	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)
STK39	0.63	0.000223287	STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)
MCTS1	0.73	0.000225901	Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies)
ZNF428	1.401	0.00024787	Zinc finger protein 428
PRDX1	1.349	0.000255469	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)
SUCLA2	1.41	0.000258846	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)"
