gene_ID	gene_name	difference	significant	logpval
LAMA1	LAMA1	0.215789072939294	+	3.78720866619402
HPX	HPX	0.0707202202969121	+	3.49670781504875
ANXA1	ANXA1	0.431426139680943	+	3.45610635256465
KIAA1462	KIAA1462	0.460844148763981	+	3.38660920907062
TF	TF	0.0755893291774706	+	3.34823402282203
UBE2D2	UBE2D2	2.34273570700474	+	3.31908521970378
CFI	CFI	0.236515661743572	+	3.25316497765497
MEF2D	MEF2D	0.517357442925102	+	3.2256215464681
SPRY4	SPRY4	0.547236561278576	+	3.14103215579483
L1CAM	L1CAM	0.481813662399689	+	3.11855699388253
BGN	BGN	0.356462464714029	+	3.07476081183505
LAMB1	LAMB1	0.462275994401614	+	3.06916899561632
LAMC1	LAMC1	0.509006954765846	+	3.03615917862377
ARHGAP28	ARHGAP28	0.585812142755679	+	2.9970009213379
S100A11	S100A11	0.570019283884326	+	2.99572254237546
FLNB	FLNB	0.591611127557621	+	2.94887744306537
TAGLN	TAGLN	0.609328111857643	+	2.94755915348838
CALD1	CALD1	0.616461674072282	+	2.92573203233737
SNCA	SNCA	0.635525477380727	+	2.85893847420483
CTPS2	CTPS2	0.538755886185942	+	2.83327517450827
ITIH4	ITIH4	0.199175064327842	+	2.83009908091323
PDLIM1	PDLIM1	0.529579780793225	+	2.82472444358205
TUBB3	TUBB3	1.666701178976	+	2.82066084066713
CKB	CKB	1.54603156500765	+	2.81777805300864
PHACTR4	PHACTR4	1.73580574229952	+	2.79710532864983
DCXR	DCXR	1.52239909353625	+	2.76525439084806
LIMCH1	LIMCH1	0.667574559674798	+	2.74562183973363
ITGAV	ITGAV	0.672954754348314	+	2.73395338845003
LIN28A	LIN28A	0.670432341133317	+	2.73255054723754
AKAP1	AKAP1	1.48443064843057	+	2.70740037636581
DCLK1	DCLK1	1.92589420270169	+	2.70538372886636
SPRY1	SPRY1	0.678758133947579	+	2.69254176612081
CDCA5	CDCA5	1.61486053499985	+	2.66875825061904
TBC1D4	TBC1D4	0.691322438121316	+	2.66528795948585
COL11A1	COL11A1	0.671638214889534	+	2.65733375642235
DENND2A	DENND2A	0.691945423570386	+	2.63998288708339
HYDIN	HYDIN	40.0601000000001	+	2.61293024857494
TBC1D5	TBC1D5	1.41994450595789	+	2.61179924544996
