gene_ID	gene_name	difference	significant	logpval
TF	TF	0.0582835185597856	+	5.13193212821407
NQO1	NQO1	0.445172094187028	+	4.52272904252246
FAM129B	FAM129B	0.516860388880219	+	4.48844951118327
FLNB	FLNB	0.610319782072346	+	4.17362860202131
TUBB3	TUBB3	1.64508228924739	+	4.12886338659623
ANXA1	ANXA1	0.476345331029052	+	4.10539398722255
SPRY4	SPRY4	0.607160226992687	+	4.06564840901501
CKB	CKB	1.53116814250271	+	4.06134487873129
APP	APP	0.560631096984013	+	4.05402490987665
SPRY1	SPRY1	0.582151364276765	+	4.00131371499013
LAMA1	LAMA1	0.186102433609013	+	3.9619431222145
SLC3A2	SLC3A2	0.68163655968349	+	3.95561784804882
PHACTR4	PHACTR4	1.64658741711704	+	3.90578627923203
PDZRN3	PDZRN3	1.47923017517163	+	3.85190936668088
SHANK2	SHANK2	0.610711242729395	+	3.85064879012486
HPX	HPX	0.0686733650766759	+	3.84582765730202
SQSTM1	SQSTM1	0.640208123971702	+	3.84578059157905
EPHA2	EPHA2	0.696641132450268	+	3.81998730123178
NEFL	NEFL	1.56788722454268	+	3.79905026898956
TAGLN	TAGLN	0.643221316335292	+	3.78974706309933
LAMC1	LAMC1	0.498266890398541	+	3.7732040424021
LMNA	LMNA	0.709476118448162	+	3.77247013691803
KIAA1462	KIAA1462	0.554356571852011	+	3.73261834101765
TLE4	TLE4	1.38018562787784	+	3.65940874724739
HIC2	HIC2	4.57292631145528	+	3.65604896337048
CALD1	CALD1	0.608592497164768	+	3.63825142133938
ANXA2	ANXA2	0.713745171716478	+	3.6062988655901
ZFHX3	ZFHX3	1.42925111847301	+	3.58007450573148
ARHGAP28	ARHGAP28	0.558132742332809	+	3.55706876716923
CD3EAP	CD3EAP	0.664288540954677	+	3.53171893033057
APLP2	APLP2	0.722334269375549	+	3.52464077551477
CDC42EP1	CDC42EP1	0.700410292914962	+	3.524187243611
CSRP1	CSRP1	0.734679292855551	+	3.51278492103984
PSD3	PSD3	1.36247758952136	+	3.49045199865245
UCHL3	UCHL3	0.742546832298156	+	3.49041137310745
AKAP1	AKAP1	1.54713356461547	+	3.48774927593792
P4HA1	P4HA1	0.73561066007211	+	3.48338861020879
PALM	PALM	1.30989565961663	+	3.46778887355132
ACTN1	ACTN1	0.756484319568916	+	3.45803221880039
MAPK8IP3	MAPK8IP3	1.31043732394093	+	3.44335706154812
PCDH7	PCDH7	0.621574620414098	+	3.43766449577485
DDAH1	DDAH1	1.30473908974238	+	3.40467639288874
SACS	SACS	1.35212316217883	+	3.40367902255838
DPYSL5	DPYSL5	1.34116128314087	+	3.38589791406033
SOX11	SOX11	1.34606823228681	+	3.38396301386178
CBY1	CBY1	1.35134431824248	+	3.37832461091106
FAM65A	FAM65A	0.709339051952534	+	3.3671142294863
PRDX2	PRDX2	1.29522376372248	+	3.34945113931742
FLNC	FLNC	0.752870843827676	+	3.31975884445129
YY1	YY1	0.760989241542929	+	3.31599274270066
DENND2A	DENND2A	0.757440346085421	+	3.31241625527295
PLS3	PLS3	0.763199342320918	+	3.29521863277806
PEG10	PEG10	1.27093288296592	+	3.28688363537393
DSTN	DSTN	0.756790391294872	+	3.27431038306195
PPFIBP1	PPFIBP1	0.779583225699313	+	3.26665751621807
MYH9	MYH9	0.787625073958479	+	3.26377406202214
CRABP1	CRABP1	0.760498113968021	+	3.25370303553872
AKAP12	AKAP12	0.704343902992056	+	3.21022823846968
TUBA1A	TUBA1A	1.25794337048904	+	3.19940966014309
ATF2	ATF2	1.32696571217612	+	3.19466438903944
NF1	NF1	0.749613845421253	+	3.18077209547733
BAIAP2	BAIAP2	1.24919274063461	+	3.17297974327428
TRIO	TRIO	0.684268780360674	+	3.1651143642559
TLN1	TLN1	0.803144309556314	+	3.14587843902247
ITIH4	ITIH4	0.138722135784929	+	3.10219006315461
DCLK1	DCLK1	1.96145700036865	+	3.09875291224058
COPS7B	COPS7B	0.802118387711771	+	3.09036618291562
VASP	VASP	0.75374893613786	+	3.06998562291691
ELMO2	ELMO2	1.51182933134809	+	3.04643068717467
LIMCH1	LIMCH1	0.680849747936437	+	3.0416505872244
SEC61B	SEC61B	1.48772257108246	+	3.02423304212779
PUS7	PUS7	0.420637312301226	+	3.02014811013342
EHD1	EHD1	1.25023961878334	+	3.01292829062515
GSTM2	GSTM2	1.28085716563066	+	2.97856266119549
YAP1	YAP1	0.754795097869097	+	2.97551382955914
PTN	PTN	0.760136390742098	+	2.97471298696643
CARHSP1	CARHSP1	1.21690283304746	+	2.97106694081901
L1CAM	L1CAM	0.491178422259619	+	2.96925656582249
ARPC5	ARPC5	0.748443693112872	+	2.96446604855074
FSCN1	FSCN1	0.790644123444045	+	2.96397191859478
NIPSNAP1	NIPSNAP1	1.22824138765986	+	2.94180663206204
ILK	ILK	0.723666086071519	+	2.93113418196429
GSN	GSN	0.825581202717806	+	2.92682359945657
MTCL1	MTCL1	1.21043237917874	+	2.91056780209705
MSI1	MSI1	1.24790441645626	+	2.90512194618848
EPB41L2	EPB41L2	0.775373393153959	+	2.89026198233818
SERPINH1	SERPINH1	0.838715506648701	+	2.85179480725175
FGD1	FGD1	0.837290981097116	+	2.84704640750418
CRMP1	CRMP1	1.41696317899323	+	2.84458691636949
SMAP2	SMAP2	0.819267249329696	+	2.83704129528687
TXNDC5	TXNDC5	0.831907645589183	+	2.83645098861359
ANXA6	ANXA6	0.837326825287847	+	2.83087536635071
COL2A1	COL2A1	0.705247077659717	+	2.82965512253477
EIF4EBP2	EIF4EBP2	1.33204559447743	+	2.82318037330705
GLCCI1	GLCCI1	1.19927391315839	+	2.82293219165191
UNC45A	UNC45A	0.818801086881757	+	2.81812943762979
KANK2	KANK2	0.6497358778605	+	2.81170897916626
SERPINB6	SERPINB6	0.832882136513576	+	2.80844354814966
PDCL3	PDCL3	0.737558670676024	+	2.79434322636536
HDLBP	HDLBP	0.840842109299931	+	2.79317136291452
PLOD1	PLOD1	0.661782506466296	+	2.79281976541686
PYM1	PYM1	0.799685373926964	+	2.78356722001375
MLEC	MLEC	0.823143293584854	+	2.7811219360157
USP1	USP1	0.75632190994966	+	2.77854772488649
TGFB1I1	TGFB1I1	0.716852562396846	+	2.77846831060852
JUN	JUN	1.43323638339205	+	2.77435223030274
EPB41	EPB41	1.33889964143139	+	2.77035863377696
AHDC1	AHDC1	0.778025959632827	+	2.76863505486277
NCOR1	NCOR1	1.27350827017714	+	2.76112409127581
PHF2	PHF2	1.26078399662351	+	2.75923958628659
H1FX	H1FX	1.25681099601994	+	2.74930513999692
MYEF2	MYEF2	1.17930027102498	+	2.74250368125409
EIF4EBP1	EIF4EBP1	0.7805918190635	+	2.74223091097628
DPYSL3	DPYSL3	1.45638299984713	+	2.74201745224607
VCL	VCL	0.83590863701802	+	2.74127878940664
COTL1	COTL1	0.836386794141739	+	2.7356744545684
GIGYF1	GIGYF1	1.25216806086972	+	2.72937327547569
SH3PXD2A	SH3PXD2A	0.806933847973247	+	2.72001853762056
GPC3	GPC3	0.624727203795532	+	2.71608457252633
ACLY	ACLY	0.854079830043433	+	2.71318482181951
VIM	VIM	0.849902969335022	+	2.71033935817906
CTNND2	CTNND2	1.35493141212081	+	2.70932266186722
HTT	HTT	0.83499034262641	+	2.69956141338731
LSM6	LSM6	1.80290779060539	+	2.69777901562491
EZR	EZR	1.2245675437692	+	2.69043252344891
UBE2O	UBE2O	0.755978229522885	+	2.68659812905581
C9orf142	C9orf142	1.23749977579753	+	2.68341026969018
COIL	COIL	0.582945264748844	+	2.67769773468893
