gene_ID	gene_name	difference	significant	logpval
HPX	HPX	0.0661450569581736	+	4.27630643020481
LAMA1	LAMA1	0.203728219694769	+	3.82184138283582
TF	TF	0.0528339012614061	+	3.72373170980917
TNS1	TNS1	0.440576903162208	+	3.42888216091787
ANXA1	ANXA1	0.432473402072312	+	3.36741162750065
DCLK1	DCLK1	1.7952999554392	+	3.09649965556124
KIAA1462	KIAA1462	0.428101334382411	+	3.07396079441508
CDH6	CDH6	0.582175574461863	+	3.01165254517731
L1CAM	L1CAM	0.482553972628968	+	2.9725033915374
TUBB3	TUBB3	1.67665698042265	+	2.91587637506812
CDC42EP3	CDC42EP3	0.582898095725145	+	2.90848475773279
FLNB	FLNB	0.589672737647757	+	2.9062096362292
COL2A1	COL2A1	0.593251946056648	+	2.86517948972811
PCDH7	PCDH7	0.614468033017178	+	2.86350400007928
LIMCH1	LIMCH1	0.628812449304242	+	2.86073612562087
WEE1	WEE1	0.631513424788025	+	2.84049022833466
FAM65A	FAM65A	0.629622428166278	+	2.83695597724362
TAGLN	TAGLN	0.613197454169536	+	2.80819590572739
APP	APP	0.517679201050226	+	2.76667562667334
SPRY4	SPRY4	0.531166819840999	+	2.75840696294798
APLP2	APLP2	0.657186802667248	+	2.75620379159383
ARRB1	ARRB1	0.65237156184187	+	2.75100356631446
CPSF1	CPSF1	1.52211916287786	+	2.74464063068004
GPC3	GPC3	0.646713790173056	+	2.73182066599095
RRBP1	RRBP1	0.642792169950755	+	2.71617670373635
CKB	CKB	1.52961281865706	+	2.70531894928113
SSFA2	SSFA2	0.658656202658109	+	2.68386525930501
PIR	PIR	0.566102663657397	+	2.6788016247459
SHANK2	SHANK2	0.587274591311424	+	2.64439655344394
PDCD4	PDCD4	1.53970678052673	+	2.6397881903271
ARHGAP28	ARHGAP28	0.464361156859614	+	2.6360014480992
ANXA2	ANXA2	0.686901510261843	+	2.6290416688615
SLC20A1	SLC20A1	1.43037230817714	+	2.59693037337067
TTC4	TTC4	83.8010388986916	+	2.59314137777484
PAK1	PAK1	1.42543156272057	+	2.5797759469692
CSNK1A1	CSNK1A1	1.6535269123906	+	2.56641181279689
FAM129B	FAM129B	0.516697878140602	+	2.56265543146353
CFI	CFI	0.17560234195477	+	2.56177461916652
CDC42EP1	CDC42EP1	0.647706008714602	+	2.55136938825244
LMNA	LMNA	0.667928482137123	+	2.5299671278124
CALD1	CALD1	0.656668216224906	+	2.52374813870013
S100A13	S100A13	0.674886176231777	+	2.51237220059247
PTPN1	PTPN1	0.707443077427435	+	2.50662640233104
KIAA1522	KIAA1522	1.5013591842061	+	2.48568318612743
CRMP1	CRMP1	1.4623524540958	+	2.47060377070894
WNK1	WNK1	0.717397313348747	+	2.46312054547726
MVD	MVD	0.735467283279821	+	2.43270459552097
AKAP12	AKAP12	0.684313352565913	+	2.41526235133807
NT5E	NT5E	0.560026471115429	+	2.41310816072616
PRDX2	PRDX2	1.35347179505153	+	2.39182820246234
CBY1	CBY1	1.39230237017682	+	2.38396953817784
CTB-50L17.10	CTB-50L17.10	0.666122857812281	+	2.38391137124871
LAMC1	LAMC1	0.465481282384159	+	2.37126185830733
MYH9	MYH9	0.742549073933838	+	2.35619842709055
TLE4	TLE4	1.4065739849009	+	2.33882500549244
CAP2	CAP2	0.759164926086552	+	2.33449270055676
CRABP1	CRABP1	0.759613908064485	+	2.33034930625501
SAMD4A	SAMD4A	0.54968289949752	+	2.32375257870198
DPYSL5	DPYSL5	1.32283807399092	+	2.3196317831847
KCTD1	KCTD1	1.41336169070412	+	2.31636935292518
UBE2O	UBE2O	0.753899948600608	+	2.30318274561978
ATAD2	ATAD2	1.396526942096	+	2.30175510041444
SALL2	SALL2	1.43174373405299	+	2.29375402825253
ECI1	ECI1	1.38140724444314	+	2.29173033595217
ZFHX3	ZFHX3	1.50239938764631	+	2.28855801724838
CSRP1	CSRP1	0.704042639333727	+	2.27548933072329
DIDO1	DIDO1	1.44895954394869	+	2.27376359318009
COPG1	COPG1	0.771184496343125	+	2.26667671774527
STT3B	STT3B	1.29696807593711	+	2.26032203993072
YWHAH	YWHAH	0.728181418981561	+	2.25933064070707
RASSF2	RASSF2	1.30092030501488	+	2.24891749309735
PLS3	PLS3	0.742964309371587	+	2.24185861144396
ACTN1	ACTN1	0.74695736531612	+	2.23766299424224
TLN1	TLN1	0.774484399875169	+	2.23549486860662
PDLIM7	PDLIM7	0.777047486000695	+	2.23542703341712
SART1	SART1	1.30019445661024	+	2.22329750977802
BGN	BGN	0.269703027420902	+	2.21883153201581
SLC3A2	SLC3A2	0.648224183442735	+	2.21842923831074
LRRFIP1	LRRFIP1	0.73840255636746	+	2.21744491477111
DCHS1	DCHS1	0.784533875368043	+	2.20208355713191
SEMA3C	SEMA3C	0.574786394563233	+	2.19173646346314
XPOT	XPOT	0.77570262565625	+	2.17761777274803
FNBP1L	FNBP1L	0.771755104404888	+	2.17543202309799
SACS	SACS	1.2647436029686	+	2.15212054235059
TUBA1A	TUBA1A	1.2834657221757	+	2.14810521156422
NEFL	NEFL	1.68221746513345	+	2.14474235301341
DIMT1	DIMT1	1.31295725368346	+	2.13751307813904
CARHSP1	CARHSP1	1.26589167190562	+	2.13665007094344
AHNAK	AHNAK	0.712759863190261	+	2.1313663885677
ACSL3	ACSL3	0.776616539451743	+	2.1267851337178
KIF22	KIF22	1.25669222962506	+	2.11756091893963
SOX13	SOX13	0.642521013882036	+	2.11262824646044
UBE2E3	UBE2E3	1.2556387736925	+	2.11216182701621
FSCN1	FSCN1	0.800557621286563	+	2.1062466131928
IRS2	IRS2	0.796251263044524	+	2.10535085163361
MAPK8IP3	MAPK8IP3	1.26051003169352	+	2.10327880984895
NIPSNAP1	NIPSNAP1	1.25565122546032	+	2.09398277348025
SH3PXD2A	SH3PXD2A	0.753588588090345	+	2.09354210595389
LIN28A	LIN28A	0.728666664531869	+	2.08030275293942
DPYSL4	DPYSL4	1.24001011891033	+	2.07918982563395
NAB2	NAB2	1.26893511457442	+	2.07696885994243
LAP3	LAP3	0.774767287900051	+	2.07506797837979
ANXA6	ANXA6	0.806369371008101	+	2.06890327201091
PPP4R3A	PPP4R3A	0.742652803552912	+	2.06647231844066
PHACTR4	PHACTR4	1.28053943711234	+	2.06303664212654
UNC119B	UNC119B	3.39309999999999	+	2.05478979616627
EZR	EZR	1.23196189115167	+	2.05350393472707
BAG3	BAG3	0.803811252907049	+	2.04676880871153
CEP131	CEP131	1.22873084369605	+	2.04302977450604
STK38L	STK38L	0.810333676703616	+	2.0397167894918
CHD3	CHD3	0.788342702192391	+	2.0379823250184
SNRPC	SNRPC	1.22694668995845	+	2.03511760919591
ARHGAP1	ARHGAP1	0.722328324326964	+	2.02814493359504
EFNB1	EFNB1	1.47014875777929	+	2.02118478290483
FAM122A	FAM122A	0.769745918599118	+	2.0203719670383
ATP1A1	ATP1A1	0.755932451893024	+	2.02030107821589
NQO1	NQO1	0.47572995449099	+	2.00804915687267
TLE3	TLE3	0.755368035165641	+	1.99781134373585
MAP2	MAP2	1.21786177787136	+	1.99311735095279
ILK	ILK	0.56657047103604	+	1.98378249683417
PEG10	PEG10	1.2520199519177	+	1.98168521861498
VIM	VIM	0.810181095442556	+	1.98147263632977
CENPV	CENPV	1.22931664350565	+	1.97374876783066
DDAH1	DDAH1	1.34956864960624	+	1.97041998176574
H1FX	H1FX	1.23169980717706	+	1.96978458238351
DSTN	DSTN	0.708169731067348	+	1.9684667079627
